Tx Location x,Tx Location y,Tx Location z,Rx Location x,Rx Location y,Rx Location z,Jammer Location x,Jammer Location y,Jammer Location z (m),Tx - Rx Distance (m),J - Rx Distance (m),J - Tx Distance (m),Signal Power Before (V),Signal Power After (V),SNR Before (dB),SNR After (dB),Total Percent Error,Expected Azimuth,Expected Elevation,Measured Azimuth,Measured Elevation,ML
14,0,0,-50,-2,0,-14,-54,0,64.0312423743285,63.2455532033676,60.8276253029822,0.139088210712532,0.138976059256914,20.3624041321632,29.1998235979651,0.219419613401686,1.78991060824607,0,1,0,0
14,0,0,-48,-2,0,-14,-54,0,62.0322496770833,62.1288982680363,60.8276253029822,0.148749735440305,0.148504335995703,20.8585640271622,30.6358285856739,0.0965584072207211,1.8476102659946,0,1.5,0,0
14,0,0,-46,-2,0,-14,-54,0,60.0333240792145,61.057350089895,60.8276253029822,0.157414486377277,0.157121332096081,21.0777696014596,30.9328406262973,0.0252354352787844,1.90915243299638,0,2,0,0
14,0,0,-44,-2,0,-14,-54,0,58.0344725141876,60.0333240792145,60.8276253029822,0.169053597064692,0.16864324655513,21.7520479078112,31.2498487689707,0.00696277475500649,1.97493401088198,0,2,0,0
14,0,0,-42,-2,0,-14,-54,0,56.0357029044876,59.0592922409336,60.8276253029822,0.18158166259652,0.181372665394048,21.6651079207715,31.5987834051791,0.012613469135341,2.04540848888723,0,2,0,0
14,0,0,-40,-2,0,-14,-54,0,54.0370243444252,58.1377674149945,60.8276253029822,0.195018311968513,0.194791789986786,22.7276892078649,32.7922123842347,0.0336378879615149,2.12109639666145,0,2,0,0
14,0,0,-38,-2,0,-14,-54,0,52.0384473250308,57.2712842531054,60.8276253029822,0.210094797725166,0.209699637178601,23.3145906987359,33.6542644494325,0.0826116217317206,2.20259816176581,0,2.5,0,0
14,0,0,-36,-2,0,-14,-54,0,50.0399840127872,56.4623768539724,60.8276253029822,0.22720334828312,0.226934653066583,23.8895318286203,34.3595009446462,0.0581638770448529,2.29061004263853,0,2.5,0,0
14,0,0,-34,-2,0,-14,-54,0,48.0416485978573,55.7135531087365,60.8276253029822,0.24585844861021,0.245621585847791,24.2109389856303,34.6055751281337,0.0316822137808854,2.38594403038881,0,2.5,0,0
14,0,0,-32,-2,0,-14,-54,0,46.0434577328854,55.0272659687904,60.8276253029822,0.267867584593076,0.267561314289562,25.1435012540787,35.0591240881674,0.141790855000234,2.48955292199916,0,3,0,0
14,0,0,-30,-2,0,-14,-54,0,44.0454310910905,54.4058820349418,60.8276253029822,0.292765119812385,0.292527110102443,25.7368510360819,37.1074418824364,0.0284895006943906,2.60256220249981,0,2.5,0,0
14,0,0,-28,-2,0,-14,-54,0,42.0475920832573,53.851648071345,60.8276253029822,0.320797679828758,0.320549124146302,26.5334816190485,36.8610983931885,0.0628641649739626,2.72631099390627,0,2.5,0,0
14,0,0,-26,-2,0,-14,-54,0,40.0499687890016,53.3666562565053,60.8276253029822,0.353742776255773,0.353456342829969,27.6596337987322,38.2235959380846,0.0382207705245145,2.86240522611175,0,3,0,0
14,0,0,-24,-2,0,-14,-54,0,38.0525951808809,52.9528091794949,60.8276253029822,0.391723083647408,0.391603500686542,28.2420979459948,39.122439598129,0.00355208449537218,3.01278750418334,0,3,0,0
14,0,0,-22,-2,0,-14,-54,0,36.0555127546399,52.6117857518636,60.8276253029822,0.436135315579473,0.436269428967154,28.9385142296155,40.2722597856232,0.0889360778154904,3.17983011986423,0,3.5,0,0
14,0,0,-20,-2,0,-14,-54,0,34.0587727318528,52.3450093132096,60.8276253029822,0.488680727624505,0.488369245777526,30.5188466976313,40.9506404848674,0.1017946287305,3.3664606634298,0,3,0,0
14,0,0,-18,-2,0,-14,-54,0,32.0624390837628,52.1536192416212,60.8276253029822,0.550938337782509,0.550826748312892,30.9612105677291,41.5220078943983,0.0212039930548197,3.57633437499735,0,3.5,0,0
14,0,0,-16,-2,0,-14,-54,0,30.0665927567458,52.0384473250308,60.8276253029822,0.626051691951773,0.626249445653044,33.0467534264695,43.2827714052645,0.0516458793637905,3.81407483429035,0,4,0,0
14,0,0,-14,-2,0,-14,-54,0,28.0713376952364,52,60.8276253029822,0.717899787450993,0.717641932138918,33.3197994820536,43.1381536737105,0.0237824388819102,4.08561677997488,0,4,0,0
14,0,0,-12,-2,0,-14,-54,0,26.0768096208106,52.0384473250308,60.8276253029822,0.831068185652734,0.831117993601874,34.6337082774496,45.5403827833574,0.02813740139013,4.39870535499553,0,4.5,0,0
14,0,0,-10,-2,0,-14,-54,0,24.0831891575846,52.1536192416212,60.8276253029822,0.972380082357161,0.971772061179983,35.9614633873091,46.3836551333168,0.0732338029794937,4.76364169072618,0,4.5,0,0
14,0,0,-8,-2,0,-14,-54,0,22.0907220343745,52.3450093132096,60.8276253029822,1.15428817065398,1.15375946704439,37.2873949116874,47.9593093973944,0.054008029926335,5.19442890773481,0,5,0,0
14,0,0,-6,-2,0,-14,-54,0,20.0997512422418,52.6117857518636,60.8276253029822,1.39183594612027,1.39302783828169,39.4634750482173,50.2514034872887,0.080390795138988,5.71059313749964,0,6,0,0
14,0,0,-6,-2,0,-14,-54,0,20.0997512422418,52.6117857518636,60.8276253029822,1.39158309472862,1.39058782689024,39.2113101660291,49.7786306057566,0.0584980937499008,5.71059313749964,0,5.5,0,0
14,0,0,-6,-4,0,-14,-54,0,20.3960780543711,50.6359556046887,60.8276253029822,1.30406211210006,1.30597845723132,37.9266725411149,49.5260642104991,0.0527965349943847,11.3099324740202,0,11.5,0,0
14,0,0,-6,-6,0,-14,-54,0,20.8806130178211,48.6621002423858,60.8276253029822,1.17493749159738,1.17210539978625,36.5927509467018,48.0641870926844,0.0553456205537836,16.6992442339936,0,16.5,0,0
