Tx Location x,Tx Location y,Tx Location z,Rx Location x,Rx Location y,Rx Location z,Jammer Location x,Jammer Location y,Jammer Location z (m),Tx - Rx Distance (m),J - Rx Distance (m),J - Tx Distance (m),Signal Power Before (V),Signal Power After (V),SNR Before (dB),SNR After (dB),Total Percent Error,Expected Azimuth,Expected Elevation,Measured Azimuth,Measured Elevation,ML
14,0,0,-50,-2,0,-6,-20,0,64.0312423743285,47.5394572960189,28.2842712474619,0.139602988230041,0.141959686077117,19.2511127477359,26.4855028480708,0.219419613401686,1.78991060824607,0,1,0,0
14,0,0,-48,-2,0,-6,-20,0,62.0322496770833,45.6946386351835,28.2842712474619,0.149011599505846,0.148456538968887,18.4557348003121,19.9471030973267,0.23544729610961,1.8476102659946,0,1,0,0
14,0,0,-46,-2,0,-6,-20,0,60.0333240792145,43.8634243989226,28.2842712474619,0.157304855316557,0.156261615583307,19.0373091167058,18.5845897632786,0.66920900916566,1.90915243299638,0,1.5,0.5,0
14,0,0,-44,-2,0,-6,-20,0,58.0344725141876,42.0475920832573,28.2842712474619,0.168890458060251,0.165179322655277,18.7443891882294,16.4748508306581,0.270815003022771,1.97493401088198,0,1,0,0
14,0,0,-42,-2,0,-6,-20,0,56.0357029044876,40.2492235949962,28.2842712474619,0.181167021362046,0.182429059342405,19.838660159222,23.529049476187,0.15150235802423,2.04540848888723,0,1.5,0,0
14,0,0,-40,-2,0,-6,-20,0,54.0370243444252,38.4707681233427,28.2842712474619,0.195627996238045,0.195354481654125,19.9995634821617,24.673156084984,0.0336378879615149,2.12109639666145,0,2,0,0
14,0,0,-38,-2,0,-6,-20,0,52.0384473250308,36.7151195013716,28.2842712474619,0.212234757242915,0.212054521245701,20.2729755819906,19.5377009121208,0.195166156046057,2.20259816176581,0,1.5,0,0
14,0,0,-36,-2,0,-6,-20,0,50.0399840127872,34.9857113690718,28.2842712474619,0.227205241917048,0.229939571337438,20.5265823334343,26.4009619832376,0.080725011844036,2.29061004263853,0,2,0,0
14,0,0,-34,-2,0,-6,-20,0,48.0416485978573,33.2866339541865,28.2842712474619,0.248294455687445,0.248521257496633,21.6097643211657,23.1223697039569,0.107206675108004,2.38594403038881,0,2,0,0
14,0,0,-32,-2,0,-6,-20,0,46.0434577328854,31.6227766016838,28.2842712474619,0.26862392026819,0.269606298542411,21.4627534180551,29.6652640365716,0.135986922777543,2.48955292199916,0,2,0,0
14,0,0,-30,-2,0,-6,-20,0,44.0454310910905,30,28.2842712474619,0.294284848084098,0.293386551596577,21.4662331144006,23.8853755800515,0.167378389583279,2.60256220249981,0,2,0,0
14,0,0,-28,-2,0,-6,-20,0,42.0475920832573,28.4253408071038,28.2842712474619,0.321507076342595,0.322710931362781,22.0810058990786,31.2223913020231,0.0628641649739626,2.72631099390627,0,2.5,0,0
14,0,0,-26,-2,0,-6,-20,0,40.0499687890016,26.9072480941474,28.2842712474619,0.352698976984162,0.353132867980174,22.6834584057088,26.3781090026903,0.0382207705245145,2.86240522611175,0,3,0,0
14,0,0,-24,-2,0,-6,-20,0,38.0525951808809,25.4558441227157,28.2842712474619,0.392478021444949,0.393226974797434,23.0677778324546,27.7854374228687,0.00355208449537218,3.01278750418334,0,3,0,0
14,0,0,-22,-2,0,-6,-20,0,36.0555127546399,24.0831891575846,28.2842712474619,0.437632111187354,0.436481366710502,22.7748219996644,24.4167590496143,0.0499528110733985,3.17983011986423,0,3,0,0
14,0,0,-20,-2,0,-6,-20,0,34.0587727318528,22.8035085019828,28.2842712474619,0.489830319176498,0.493183282872602,23.913969771024,25.3231742396902,0.1017946287305,3.3664606634298,0,3,0,0
14,0,0,-18,-2,0,-6,-20,0,32.0624390837628,21.6333076527839,28.2842712474619,0.551365889623786,0.556854530015146,24.3285050255253,25.5354930944495,0.0212039930548197,3.57633437499735,0,3.5,0,0
14,0,0,-16,-2,0,-6,-20,0,30.0665927567458,20.591260281974,28.2842712474619,0.626673421139941,0.631213945437433,25.3614323448871,23.799344163259,0.0872430095250984,3.81407483429035,0,3.5,0,0
