Tx Location x,Tx Location y,Tx Location z,Rx Location x,Rx Location y,Rx Location z,Jammer Location x,Jammer Location y,Jammer Location z (m),Tx - Rx Distance (m),J - Rx Distance (m),J - Tx Distance (m),Signal Power Before (V),Signal Power After (V),SNR Before (dB),SNR After (dB)
100,0,0,0,0,0,50,-120,0,100,130,130,0.0180679411532316,0.0180856894579149,20.2079823763661,28.708112384426
100,0,0,0,0,0,50,-100,0,100,111.803398874989,111.803398874989,0.0180785098133214,0.0180845519488432,20.8400852233937,28.1849703414243
100,0,0,0,0,0,50,-80,0,100,94.339811320566,94.339811320566,0.0181483362228701,0.0181228748691178,21.0912571221284,27.9384964602873
100,0,0,0,0,0,50,-60,0,100,78.1024967590665,78.1024967590665,0.0181409342148228,0.0181259074593374,19.5390636481616,28.4602595538729
100,0,0,0,0,0,50,-40,0,100,64.0312423743285,64.0312423743285,0.0179218724038117,0.0179660229080212,18.3146756329804,26.895771824165
100,0,0,0,0,0,50,-20,0,100,53.851648071345,53.851648071345,0.0181212869502333,0.0180219903361726,17.6961976244161,24.830029611114
100,0,0,0,0,0,50,0,0,100,50,50,0.0184063595111803,0.018427364181217,16.8396787061795,18.9221422797406
100,0,0,0,0,0,50,20,0,100,53.851648071345,53.851648071345,0.0182903338759562,0.0185534459029009,17.9075207436102,24.7482727361251
100,0,0,0,0,0,50,40,0,100,64.0312423743285,64.0312423743285,0.018123170978773,0.0182752962747272,19.0442744699326,27.1159736961122
100,0,0,0,0,0,50,60,0,100,78.1024967590665,78.1024967590665,0.0181016805881698,0.0181800654763636,20.2976108572597,28.0660507057502
100,0,0,0,0,0,50,80,0,100,94.339811320566,94.339811320566,0.0180197708510783,0.018037294808054,19.878986244873,28.3508177772404
100,0,0,0,0,0,50,100,0,100,111.803398874989,111.803398874989,0.0180874888907505,0.0180962642638947,20.4950990892237,28.1910600115046
100,0,0,0,0,0,50,120,0,100,130,130,0.0180302814728969,0.0180239799626704,21.5633709886662,28.5629447638677
