Tx Location x,Tx Location y,Tx Location z,Rx Location x,Rx Location y,Rx Location z,Jammer Location x,Jammer Location y,Jammer Location z (m),Tx - Rx Distance (m),J - Rx Distance (m),J - Tx Distance (m),Signal Power Before (V),Signal Power After (V),SNR Before (dB),SNR After (dB),Total Percent Error,Expected Azimuth,Expected Elevation,Measured Azimuth,Measured Elevation,ML
14,0,0,-50,-2,0,-52,-2,0,64.0312423743285,2,66.0302960768767,0.361293727559139,0.359793916796336,0.294290707736126,0.266028528571477,0.497197391179464,1.78991060824607,0,0,0,0
14,0,0,-48,-2,0,-50,-2,0,62.0322496770833,2,64.0312423743285,0.373651354551472,0.377480047012735,0.826883563980361,0.95252542972012,0.513225073887388,1.8476102659946,0,0,0,0
14,0,0,-46,-2,0,-48,-2,0,60.0333240792145,2,62.0322496770833,0.367758655050284,0.385371418968046,0.30428237177083,0.725167348742238,0.530320120276771,1.90915243299638,0,0,0,0
14,0,0,-44,-2,0,-46,-2,0,58.0344725141876,2,60.0333240792145,0.398774466535797,0.398847077011132,2.50677011781186,2.56778045148005,0.548592780800549,1.97493401088198,0,0,0,0
14,0,0,-42,-2,0,-44,-2,0,56.0357029044876,2,58.0344725141876,0.354768618989005,0.352678938788662,0.27851283778414,0.319500170454636,0.568169024690897,2.04540848888723,0,0,0,0
14,0,0,-40,-2,0,-42,-2,0,54.0370243444252,2,56.0357029044876,0.38968604846807,0.396883193388281,1.11706271268395,1.28965281657477,0.58919344351707,2.12109639666145,0,0,0,0
14,0,0,-38,-2,0,-40,-2,0,52.0384473250308,2,54.0370243444252,0.396681799967765,0.394307574539173,2.6680393601966,2.58206551141542,0.611832822712724,2.20259816176581,0,0,0,0
14,0,0,-36,-2,0,-38,-2,0,50.0399840127872,2,52.0384473250308,0.417733899560033,0.720574352528945,1.71040352792603,9.78676080266465,0.497391678510703,2.29061004263853,0,0.5,0,0
14,0,0,-34,-2,0,-36,-2,0,48.0416485978573,2,50.0399840127872,0.394938923640657,0.732257006375151,1.27779910464778,9.31759306349567,0.52387334177467,2.38594403038881,0,0.5,0,0
14,0,0,-32,-2,0,-34,-2,0,46.0434577328854,2,48.0416485978573,0.421257313759447,0.825074012351384,2.61464476941276,10.8239233104319,0.55265358944421,2.48955292199916,0,0.5,0,0
