Tx Location x,Tx Location y,Tx Location z,Rx Location x,Rx Location y,Rx Location z,Jammer Location x,Jammer Location y,Jammer Location z (m),Tx - Rx Distance (m),J - Rx Distance (m),J - Tx Distance (m),Signal Power Before (V),Signal Power After (V),SNR Before (dB),SNR After (dB),Total Percent Error,Expected Azimuth,Expected Elevation,Measured Azimuth,Measured Elevation
14,0,0,-2,-50,0,-1400,-5400,0,52.4976189936268,5529.63868620726,5582.0601931545,0.0170923222215088,0.0158202290617916,5.85517323146414,10.6716400710224,1.73463100696026,72.2553283749431,0,72.5,-1.5
14,0,0,-2,-49,0,-1400,-5400,0,51.5460958754395,5530.60620547151,5582.0601931545,0.0180006522989588,0.0169596127134138,6.49751531827952,11.9171384462215,1.6434873935976,71.9165546169513,0,70,1
14,0,0,-2,-48,0,-1400,-5400,0,50.5964425626941,5531.5737362888,5582.0601931545,0.0192430799891747,0.0180963736197702,6.7752757464618,12.3057435033297,0.573625326966108,71.565051177078,0,71.5,-0.5
14,0,0,-2,-47,0,-1400,-5400,0,49.6487663492256,5532.54127865306,5582.0601931545,0.0206959013094817,0.0195899331016965,7.62081374814653,12.4672756523341,0.638856988514623,71.2001148413474,0,71.5,-0.5
14,0,0,-2,-46,0,-1400,-5400,0,48.7031826475437,5533.50883255823,5582.0601931545,0.0221096869117145,0.0211799247707798,7.79340544695272,13.5803851419094,0.783608881719249,70.8209919741893,0,70,0.5
14,0,0,-2,-45,0,-1400,-5400,0,47.7598157450382,5534.47639799828,5582.0601931545,0.023720117008475,0.022870980079876,8.45383865649736,14.3475869191946,2.06302060266384,70.4268741695898,0,69,1.5
14,0,0,-2,-44,0,-1400,-5400,0,46.8187996428785,5535.44397496714,5582.0601931545,0.0253801514862017,0.0246484517669414,9.4085650651928,15.0851392873013,0.560248188361119,70.0168934781,0,68,0
14,0,0,-2,-43,0,-1400,-5400,0,45.8802789878178,5536.41156345877,5582.0601931545,0.0274433227683159,0.0266838489803568,9.98533085583764,16.1081054719843,1.13614365727667,69.590117166196,0,67.5,0.5
14,0,0,-2,-42,0,-1400,-5400,0,44.9444101084885,5537.37916346714,5582.0601931545,0.0303446155441349,0.029685390861838,10.6212963725443,16.0967917364174,0.931793899882874,69.1455419604217,0,70.5,0.5
14,0,0,-2,-41,0,-1400,-5400,0,44.0113621693308,5538.3467749862,5582.0601931545,0.0322915891825915,0.0317510121022148,11.0733532040985,16.5507367792886,0.782753409850427,68.6820877245385,0,69.5,-0.5
14,0,0,-2,-40,0,-1400,-5400,0,43.081318457076,5539.31439800992,5582.0601931545,0.0351508971829624,0.0345710330048054,11.8738217208578,18.7401496846414,1.16627514268005,68.1985905136482,0,66,0.5
