Tx Location x,Tx Location y,Tx Location z,Rx Location x,Rx Location y,Rx Location z,Jammer Location x,Jammer Location y,Jammer Location z (m),Tx - Rx Distance (m),J - Rx Distance (m),J - Tx Distance (m),Signal Power Before (V),Signal Power After (V),SNR Before (dB),SNR After (dB),Total Percent Error,Expected Azimuth,Expected Elevation,Measured Azimuth,Measured Elevation
14,0,0,-6,50,0,-1400,-5400,0,53.851648071345,5625.45429276605,5582.0601931545,0.023172366722585,0.0222801476692082,8.3750852599164,14.4279249462957,2.58372485731995,-68.1985905136482,0,-69.5,-2
14,0,0,-6,49,0,-1400,-5400,0,52.924474489597,5624.48548758017,5582.0601931545,0.0250273147486581,0.0242641742926339,8.71773664781535,14.8053890132305,0.915700407761836,-67.7965214679426,0,-64.5,0
14,0,0,-6,48,0,-1400,-5400,0,52,5623.51669331567,5582.0601931545,0.0261692540831895,0.0253357104838739,9.36603432123498,14.8212596053731,0.383370847766551,-67.3801350519596,0,-66,0
14,0,0,-6,47,0,-1400,-5400,0,51.0783711564885,5622.54790997818,5582.0601931545,0.0286037902610528,0.0279142944725276,10.2485581048895,16.1586849501393,0.819083078757493,-66.948699083527,0,-66,0.5
14,0,0,-6,46,0,-1400,-5400,0,50.1597448159378,5621.57913757336,5582.0601931545,0.0301921070004168,0.0295018696216198,10.5744904576746,16.6082862906626,0.694046021097804,-66.5014343240479,0,-67,0.5
14,0,0,-6,45,0,-1400,-5400,0,49.2442890089805,5620.61037610685,5582.0601931545,0.0323190848768492,0.0317109425490069,11.177376850036,17.2230899200398,0.822913604049494,-66.0375110254218,0,-67,-0.5
14,0,0,-6,44,0,-1400,-5400,0,48.3321838943783,5619.64162558432,5582.0601931545,0.0350570357065652,0.0345051628156603,11.6865867005911,17.6507469349564,0.123320772337926,-65.5560452195835,0,-66,0
14,0,0,-6,43,0,-1400,-5400,0,47.4236228055175,5618.67288601143,5582.0601931545,0.0379205559973418,0.0374873728770659,12.9692004735111,19.1623799567764,1.12669298238206,-65.0560947365754,0,-65,-1
14,0,0,-6,42,0,-1400,-5400,0,46.518813398452,5617.70415739384,5582.0601931545,0.0411703692141831,0.040695825411322,13.5107746971711,19.1156471411821,0.684262517186558,-64.5366549381284,0,-65,0.5
14,0,0,-6,41,0,-1400,-5400,0,45.6179789118282,5616.73543973721,5582.0601931545,0.0442387549552629,0.0438670780504256,14.3427773862302,20.1168591381108,0.139818290142068,-63.9966541554886,0,-64.5,0
14,0,0,-6,40,0,-1400,-5400,0,44.7213595499958,5615.76673304723,5582.0601931545,0.0476026806127654,0.0472212563038973,14.3280329451278,20.890168115239,0.712514215854997,-63.434948822922,0,-64,-0.5
14,0,0,-6,39,0,-1400,-5400,0,43.8292140016223,5614.79803732957,5582.0601931545,0.0516298851653358,0.0512560809733295,15.3195228824071,21.4875844904712,0.0973106395046762,-62.8503183022168,0,-62.5,0
14,0,0,-6,38,0,-1400,-5400,0,42.9418211071678,5613.82935258991,5582.0601931545,0.0562671303425789,0.0559141531428298,16.0034961040869,21.4181079083615,0.0670720552611057,-62.24145939894,0,-62,0
14,0,0,-6,37,0,-1400,-5400,0,42.0594816896262,5612.86067883392,5582.0601931545,0.0608910912043597,0.0605844858563064,16.938398031725,23.4122028483866,0.664727617050832,-61.606980578617,0,-62,-0.5
14,0,0,-6,36,0,-1400,-5400,0,41.182520563948,5611.89201606731,5582.0601931545,0.0659916609231032,0.0657328573331914,17.7113405567094,23.4384453977119,0.123721083589684,-60.9453959009229,0,-60.5,0
14,0,0,-6,35,0,-1400,-5400,0,40.3112887414927,5610.92336429576,5582.0601931545,0.0725505779513561,0.0723747452213897,18.0209405277924,23.9344566803091,0.0680225824839494,-60.2551187030578,0,-60.5,0
14,0,0,-6,34,0,-1400,-5400,0,39.446165846632,5609.95472352496,5582.0601931545,0.0785781618144328,0.0783706895490152,18.899773619168,24.992618612395,0.129318033183298,-59.5344550805401,0,-60,0
14,0,0,-6,33,0,-1400,-5400,0,38.5875627631495,5608.98609376062,5582.0601931545,0.0863887881268489,0.0861597795865384,19.8504220000155,25.6614839293142,0.616222990096213,-58.7815972356536,0,-59,-0.5
14,0,0,-6,32,0,-1400,-5400,0,37.7359245282264,5608.01747500844,5582.0601931545,0.0946495106995383,0.0944318906984761,20.8641308658871,26.8121475700029,0.00149533557875022,-57.9946167919165,0,-58,0
14,0,0,-6,31,0,-1400,-5400,0,36.8917334913934,5607.04886727412,5582.0601931545,0.104000688194224,0.103813882274853,21.5932613158475,27.3935951406151,0.0912616087257017,-57.1714582085875,0,-57.5,0
14,0,0,-6,30,0,-1400,-5400,0,36.0555127546399,5606.08027056338,5582.0601931545,0.115249914069717,0.115008294188438,22.3905860848801,28.8798387112157,0.0860923538945042,-56.3099324740202,0,-56,0
14,0,0,-6,29,0,-1400,-5400,0,35.2278299076171,5605.11168488193,5582.0601931545,0.126094277806199,0.125925688225045,22.9484297820755,30.0253805120106,0.0256357465305395,-55.4077113124901,0,-55.5,0
14,0,0,-6,28,0,-1400,-5400,0,34.4093010681705,5604.1431102355,5582.0601931545,0.139268435825408,0.139153458387354,23.8361510884878,30.6696307528039,0.128422835562672,-54.4623222080256,0,-54,0
14,0,0,-6,27,0,-1400,-5400,0,33.6005952328229,5603.17454662979,5582.0601931545,0.152889862905126,0.152759350997361,24.7002379176573,30.8555054362374,0.00801537971810262,-53.4711446330148,0,-53.5,0
