Tx Location x,Tx Location y,Tx Location z,Rx Location x,Rx Location y,Rx Location z,Jammer Location x,Jammer Location y,Jammer Location z (m),Tx - Rx Distance (m),J - Rx Distance (m),J - Tx Distance (m),Signal Power Before (V),Signal Power After (V),SNR Before (dB),SNR After (dB),Total Percent Error,Expected Azimuth,Expected Elevation,Measured Azimuth,Measured Elevation
14,0,0,-2,-50,0,-1400,-5400,0,52.4976189936268,5529.63868620726,5582.0601931545,0.0173831784839043,0.0160606578636287,5.97343280656944,11.55699305953,2.56796434029359,72.2553283749431,0,73.5,-2
14,0,0,-2,-49,0,-1400,-5400,0,51.5460958754395,5530.60620547151,5582.0601931545,0.0182060355328264,0.0170918702430401,6.02785139006635,11.7945223772078,2.24540149529129,71.9165546169513,0,78,-0.5
14,0,0,-2,-48,0,-1400,-5400,0,50.5964425626941,5531.5737362888,5582.0601931545,0.0190696839456578,0.0180970349982717,6.32034103658294,12.6904371753013,1.12918088252166,71.565051177078,0,69.5,0.5
14,0,0,-2,-47,0,-1400,-5400,0,49.6487663492256,5532.54127865306,5582.0601931545,0.0208568202332825,0.0199365257195505,7.33069102474981,12.1103440348578,0.777745877403512,71.2001148413474,0,72,-0.5
14,0,0,-2,-46,0,-1400,-5400,0,48.7031826475437,5533.50883255823,5582.0601931545,0.0218030005113084,0.0208585694378234,7.90773481780834,13.3817145428416,0.64471999283036,70.8209919741893,0,70.5,-0.5
14,0,0,-2,-45,0,-1400,-5400,0,47.7598157450382,5534.47639799828,5582.0601931545,0.0239635868590175,0.0229892434325183,8.69056109348388,13.6754792206934,1.54809050844728,70.4268741695898,0,72,1
14,0,0,-2,-44,0,-1400,-5400,0,46.8187996428785,5535.44397496714,5582.0601931545,0.0254367475811867,0.0246958595580048,9.10697790399275,14.7334931294449,1.67135929947223,70.0168934781,0,70,1.5
14,0,0,-2,-43,0,-1400,-5400,0,45.8802789878178,5536.41156345877,5582.0601931545,0.0271555022178216,0.0264814680019864,9.7892671727033,16.1552632727874,0.113856342723327,69.590117166196,0,70,0
14,0,0,-2,-42,0,-1400,-5400,0,44.9444101084885,5537.37916346714,5582.0601931545,0.029942045195871,0.0292473260118128,10.4143314510559,16.2235075162166,0.318206100117126,69.1455419604217,0,68,0
14,0,0,-2,-41,0,-1400,-5400,0,44.0113621693308,5538.3467749862,5582.0601931545,0.0324941929442436,0.0318464930737732,11.1409436308302,17.4790340215137,0.606135479038462,68.6820877245385,0,68.5,-0.5
14,0,0,-2,-40,0,-1400,-5400,0,43.081318457076,5539.31439800992,5582.0601931545,0.0353293302756411,0.0347949586801284,11.7019689818244,17.3914543137737,0.361502635097726,68.1985905136482,0,69.5,0
