Tx Location x,Tx Location y,Tx Location z,Rx Location x,Rx Location y,Rx Location z,Jammer Location x,Jammer Location y,Jammer Location z (m),Tx - Rx Distance (m),J - Rx Distance (m),J - Tx Distance (m),Signal Power Before (V),Signal Power After (V),SNR Before (dB),SNR After (dB),Total Percent Error,Expected Azimuth,Expected Elevation,Measured Azimuth,Measured Elevation,ML
14,0,0,-50,-2,0,-6,-20,0,64.0312423743285,47.5394572960189,28.2842712474619,0.138820208841567,0.141509525648977,17.8621045664065,25.8906418645707,0.219419613401686,1.78991060824607,0,1,0,0
14,0,0,-48,-2,0,-6,-20,0,62.0322496770833,45.6946386351835,28.2842712474619,0.149655176415265,0.151615474791056,18.5697803443724,27.1767770492157,0.23544729610961,1.8476102659946,0,1,0,0
14,0,0,-46,-2,0,-6,-20,0,60.0333240792145,43.8634243989226,28.2842712474619,0.158331350044562,0.159709789062635,19.1858414013623,27.3559754919646,0.113653453610105,1.90915243299638,0,1.5,0,0
14,0,0,-44,-2,0,-6,-20,0,58.0344725141876,42.0475920832573,28.2842712474619,0.169834013410452,0.171180745817385,19.1982144609318,28.1660051087698,0.131926114133882,1.97493401088198,0,1.5,0,0
14,0,0,-42,-2,0,-6,-20,0,56.0357029044876,40.2492235949962,28.2842712474619,0.180922040591069,0.18363480093308,19.4341177452869,28.9415399469476,0.15150235802423,2.04540848888723,0,1.5,0,0
14,0,0,-40,-2,0,-6,-20,0,54.0370243444252,38.4707681233427,28.2842712474619,0.19496386381426,0.19696056404078,19.9971259833826,30.361333680078,0.172526776850404,2.12109639666145,0,1.5,0,0
14,0,0,-38,-2,0,-6,-20,0,52.0384473250308,36.7151195013716,28.2842712474619,0.210325311847416,0.210961203196718,20.7862101318516,31.4579952778075,0.0562772671571682,2.20259816176581,0,2,0,0
14,0,0,-36,-2,0,-6,-20,0,50.0399840127872,34.9857113690718,28.2842712474619,0.227147241890763,0.228506309785243,20.0043457576441,32.3627945362551,0.080725011844036,2.29061004263853,0,2,0,0
14,0,0,-34,-2,0,-6,-20,0,48.0416485978573,33.2866339541865,28.2842712474619,0.247321384117697,0.248371481626752,21.8146110346119,32.3534265368524,0.107206675108004,2.38594403038881,0,2,0,0
14,0,0,-32,-2,0,-6,-20,0,46.0434577328854,31.6227766016838,28.2842712474619,0.266922688002499,0.26735398547135,21.2163692828507,33.7060566191223,0.00290196611134558,2.48955292199916,0,2.5,0,0
