Tx Location x,Tx Location y,Tx Location z,Rx Location x,Rx Location y,Rx Location z,Jammer Location x,Jammer Location y,Jammer Location z (m),Tx - Rx Distance (m),J - Rx Distance (m),J - Tx Distance (m),Signal Power Before (V),Signal Power After (V),SNR Before (dB),SNR After (dB),Total Percent Error,Expected Azimuth,Expected Elevation,Measured Azimuth,Measured Elevation
14,0,0,-50,-2,0,-2,-50,0,64.0312423743285,67.8822509939086,52.4976189936268,0.138672175824855,0.138556898210048,23.7660492565903,29.1511526511328,0.0583581643760918,1.78991060824607,0,2,0
14,0,0,-48,-2,0,-2,-48,0,62.0322496770833,65.0538238691624,50.5964425626941,0.148089246892477,0.147931899438291,24.8539264640818,30.8588300534147,0.0423304816681678,1.8476102659946,0,2,0
14,0,0,-46,-2,0,-2,-46,0,60.0333240792145,62.2253967444162,48.7031826475437,0.157862631851431,0.157778209106637,25.711171699435,31.1411647708997,0.0252354352787844,1.90915243299638,0,2,0
14,0,0,-44,-2,0,-2,-44,0,58.0344725141876,59.39696961967,46.8187996428785,0.16911010426498,0.168988899937849,25.7806585687942,32.0025649245399,0.00696277475500649,1.97493401088198,0,2,0
14,0,0,-42,-2,0,-2,-42,0,56.0357029044876,56.5685424949238,44.9444101084885,0.181274135675642,0.181151826961308,26.9619869174144,32.9678637095304,0.012613469135341,2.04540848888723,0,2,0
14,0,0,-40,-2,0,-2,-40,0,54.0370243444252,53.7401153701776,43.081318457076,0.195341300746469,0.19529586420644,26.9712931590934,33.1647129125342,0.0336378879615149,2.12109639666145,0,2,0
14,0,0,-38,-2,0,-2,-38,0,52.0384473250308,50.9116882454314,41.2310562561766,0.210311955331748,0.210238954515132,27.5831608165215,33.3449532067955,0.0562772671571682,2.20259816176581,0,2,0
14,0,0,-36,-2,0,-2,-36,0,50.0399840127872,48.0832611206852,39.3954312071844,0.227234945304596,0.227159372422711,28.2197190621168,34.5576989658382,0.0581638770448529,2.29061004263853,0,2.5,0
14,0,0,-34,-2,0,-2,-34,0,48.0416485978573,45.254833995939,37.5765884561119,0.24645443401588,0.2463065066082,28.7524208809963,35.065108451631,0.0316822137808854,2.38594403038881,0,2.5,0
14,0,0,-32,-2,0,-2,-32,0,46.0434577328854,42.4264068711929,35.7770876399966,0.267721451477786,0.267686724777957,29.6386764743333,36.0530527594603,0.00290196611134558,2.48955292199916,0,2.5,0
14,0,0,-30,-2,0,-2,-30,0,44.0454310910905,39.5979797464467,34,0.293060522712413,0.29296428842303,30.6257457334035,36.5336476577338,0.0284895006943906,2.60256220249981,0,2.5,0
14,0,0,-28,-2,0,-2,-28,0,42.0475920832573,36.7695526217005,32.2490309931942,0.321272333326101,0.321178450638438,30.8187304880677,37.1876857865888,0.0628641649739626,2.72631099390627,0,2.5,0
14,0,0,-26,-2,0,-2,-26,0,40.0499687890016,33.9411254969543,30.5286750449475,0.353590454862486,0.353642751023257,31.8410611229092,37.5040274537205,0.0382207705245145,2.86240522611175,0,3,0
14,0,0,-24,-2,0,-2,-24,0,38.0525951808809,31.1126983722081,28.8444102037119,0.391365451992426,0.39130318757557,32.973364823791,38.885951368081,0.00355208449537218,3.01278750418334,0,3,0
